NOC,Sport,Prediction,NOC.1,Sport.1,2024,medal,Rate,,Number
ARM,Gymnastics,6,ARM,Gymnastics,0,0,,,
ARM,Judo,1,ARM,Judo,0,0,0,,15
ARM,Shooting,1,ARM,Shooting,0.3291145629775567,0.3291145629775567,0.0029838017627935123,,15
ARM,Taekwondo,1,ARM,Taekwondo,0,0,0,,8
ARM,Tennis,1,ARM,Tennis,0,0,0,,5
ARM,Weightlifting,3,ARM,Weightlifting,0.0179118174648995,0.0537354523946985,0.0012291043034410528,,10
ARM,Wrestling,5,ARM,Wrestling,0.0381722591498217,0.19086129574910848,0.0023959966085874552,,18
ARU,Athletics,1,ARU,Athletics,0,0,0,,48
ARU,Boxing,2,ARU,Boxing,0,0,0,,13
ARU,Cycling,1,ARU,Cycling,0,0,,,
ARU,Cycling BMX Racing,1,ARU,Cycling BMX Racing,0.0508997657440453,0.0508997657440453,0.0016659227702834137,,2
ARU,Fencing,2,ARU,Fencing,0,0,0,,12
ARU,Judo,1,ARU,Judo,0,0,0,,15
ARU,Sailing,2,ARU,Sailing,0.0788831039342352,0.1577662078684704,0.0016227566085368805,,10
ARU,Shooting,1,ARU,Shooting,0.0184749193260307,0.0184749193260307,0.00016749637680492886,,15
ARU,Taekwondo,1,ARU,Taekwondo,0,0,0,,8
ARU,Weightlifting,1,ARU,Weightlifting,0,0,0,,10
ASA,Archery,1,ASA,Archery,0,0,0,,5
ASA,Athletics,1,ASA,Athletics,0.0002179623503639,0.0002179623503639,1.1152581563729319e-06,,48
ASA,Boxing,1,ASA,Boxing,0,0,0,,13
ASA,Judo,1,ASA,Judo,0,0,0,,15
ASA,Sailing,2,ASA,Sailing,0,0,0,,10
ASA,Weightlifting,1,ASA,Weightlifting,0,0,0,,10
ASA,Wrestling,1,ASA,Wrestling,0,0,0,,18
AUS,3x3 Basketball,4,AUS,3x3 Basketball,0.5883372073192514,2.3533488292770057,0.09970503640081782,,2
AUS,Archery,4,AUS,Archery,0.7653420840486445,3.061368336194578,0.03383403220217004,,5
AUS,Artistic Gymnastics,40,AUS,Artistic Gymnastics,0.1740108977969287,6.9604359118771475,0.06182940779862962,,14
AUS,Athletics,90,AUS,Athletics,0.1433929135380327,12.905362218422944,0.06603347069351052,,48
AUS,Badminton,3,AUS,Badminton,0.3395011650758899,1.0185034952276697,0.017532395189329194,,5
AUS,Basketball,23,AUS,Basketball,0.0344414443592278,0.7921532202622394,0.014890691587690479,,2
AUS,Beach Volleyball,6,AUS,Beach Volleyball,0.1173198810953214,0.7039192865719284,0.017308217974053627,,2
AUS,Boxing,12,AUS,Boxing,0.21556517108626,2.5867820530351198,0.03656840032974787,,13
AUS,Breaking,2,AUS,Breaking,0.2703312225655138,0.5406624451310276,0.03342587660121037,,2
AUS,Canoeing,20,AUS,Canoeing,0.41,8.2,,,16
AUS,Cycling,43,AUS,Cycling,0,0,,,
AUS,Cycling BMX Freestyle,2,AUS,Cycling BMX Freestyle,0.0018707670224755,0.003741534044951,0.0003289615631638713,,2
AUS,Cycling BMX Racing,3,AUS,Cycling BMX Racing,0.4280572313185821,1.2841716939557464,0.0420302693861529,,2
AUS,Cycling Mountain Bike,1,AUS,Cycling Mountain Bike,0.4911299687014921,0.4911299687014921,0.018569340848713187,,2
AUS,Cycling Road,8,AUS,Cycling Road,0.3555782011997936,2.844625609598349,0.04378814385646088,,4
AUS,Cycling Track,37,AUS,Cycling Track,0.2071507656335829,7.664578328442567,0.06548116982535575,,12
AUS,Equestrian,22,AUS,Equestrian,0.1944529528109499,4.2779649618408975,0.05105968949253681,,6
AUS,Equestrianism,24,AUS,Equestrianism,0,0,,,
AUS,Fencing,2,AUS,Fencing,0,0,0,,12
AUS,Football,19,AUS,Football,0.1359182522380866,2.5824467925236454,0.03054551933808544,,2
AUS,Golf,4,AUS,Golf,0.4899900055208299,1.9599600220833195,0.04071866408638614,,2
AUS,Gymnastics,2,AUS,Gymnastics,0,0,,,
AUS,Handball,30,AUS,Handball,0,0,0,,2
AUS,Judo,3,AUS,Judo,0.5711299081818224,1.7133897245454672,0.015246323894217956,,15
AUS,Modern Pentathlon,1,AUS,Modern Pentathlon,0.4099346514457048,0.4099346514457048,0.012911430202423253,,2
AUS,Rhythmic Gymnastics,6,AUS,Rhythmic Gymnastics,0.5199034857163577,3.1194209142981464,0.07861880272410661,,2
AUS,Rowing,38,AUS,Rowing,0.0512134247665835,1.9461101411301729,0.01577091956545735,,14
AUS,Rugby Sevens,25,AUS,Rugby Sevens,0.190367181893844,4.7591795473461,0.06779274368386193,,12
AUS,Sailing,12,AUS,Sailing,0.4644387822756353,5.573265387307623,0.05732566790173042,,10
